tiempo,posicion,velocidad
0.0,2.099734,-1.38
0.03333300000000006,2.099734,-0.35
0.06666700000000003,2.076664,-0.69
0.10000000000000009,2.053593,-0.35
0.13333299999999992,2.053593,0.0
0.1666669999999999,2.053593,0.0
0.19999999999999996,2.053593,0.0
0.233333,2.053593,0.0
0.266667,2.053593,0.0
0.30000000000000004,2.053593,0.0
0.3333330000000001,2.053593,0.0
0.3666670000000001,2.053593,-3.11
0.3999999999999999,1.845959,-3.11
0.43333299999999997,1.845959,-12.11
0.46666699999999994,1.038494,-20.76
0.5,0.461733,-21.46
0.5333330000000001,-0.391873,-21.11
0.566667,-0.945564,-15.92
0.6000000000000001,-1.453113,-12.11
0.6333329999999999,-1.753029,0.69
0.6666669999999999,-1.406972,11.42
0.7,-0.991704,11.77
0.733333,-0.622577,12.46
0.766667,-0.161169,14.53
0.8,0.346381,12.8
0.8333330000000001,0.692437,5.88
0.8666670000000001,0.738578,0.35
0.8999999999999999,0.715508,-1.73
0.933333,0.623226,-7.61
0.9666669999999999,0.207958,-12.11
1.0,-0.184239,-11.07
1.0333329999999998,-0.530296,-9.69
1.0666669999999998,-0.830211,-6.92
1.1,-0.991704,-4.15
1.133333,-1.107057,-1.73
1.166667,-1.107057,1.38
1.2000000000000002,-1.014775,4.15
1.233333,-0.830211,7.96
1.266667,-0.484155,10.04
1.2999999999999998,-0.161169,9.34
1.333333,0.138747,6.58
1.366667,0.27717,3.46
1.4,0.369451,1.73
1.4333330000000002,0.392522,-2.08
1.4666670000000002,0.231029,-3.81
1.5,0.138747,-5.54
1.5333329999999998,-0.138098,-7.27
1.5666669999999998,-0.345732,-6.58
1.6,-0.576437,-5.88
1.633333,-0.73793,-4.15
1.666667,-0.853282,-2.08
1.7000000000000002,-0.876352,0.0
1.733333,-0.853282,4.15
1.766667,-0.599507,5.88
1.7999999999999998,-0.461084,3.81
1.833333,-0.345732,4.15
1.866667,-0.184239,5.19
1.9,0.000324,6.23
1.9333330000000002,0.231029,5.19
1.9666670000000002,0.346381,3.81
2.0,0.484804,-1.04
2.033333,0.27717,-6.92
2.066667,0.023395,-7.27
2.1,-0.20731,-6.23
2.133333,-0.391873,-6.23
2.166667,-0.622577,-5.19
2.2,-0.73793,-1.38
2.233333,-0.714859,-0.35
2.266667,-0.761,-0.69
2.3,-0.761,3.81
2.333333,-0.507225,6.58
2.366667,-0.322662,3.46
2.4,-0.276521,1.73
2.433333,-0.20731,3.11
2.466667,-0.068887,6.23
2.5,0.207958,5.19
2.533333,0.27717,1.73
2.566667,0.32331,0.69
2.6,0.32331,-2.77
2.633333,0.138747,-4.5
2.666667,0.023395,-3.46
2.7,-0.091957,-3.46
2.733333,-0.20731,-3.81
2.766667,-0.345732,-4.15
2.8,-0.484155,-2.77
2.833333,-0.530296,0.0
2.866667,-0.484155,0.69
2.9,-0.484155,1.73
2.933333,-0.368803,3.11
2.966667,-0.276521,3.81
3.0,-0.115028,4.5
3.033333,0.023395,3.11
3.066667,0.092606,2.77
3.0999999999999996,0.207958,1.73
3.1333330000000004,0.207958,0.0
3.1666670000000003,0.207958,-2.08
3.2,0.069536,-6.23
3.233333,-0.20731,-4.15
3.266667,-0.20731,-1.04
3.3,-0.276521,-2.08
3.3333329999999997,-0.345732,-2.42
3.3666669999999996,-0.438014,-1.38
3.4000000000000004,-0.438014,-0.69
3.433333,-0.484155,0.35
3.466667,-0.414944,2.08
3.5,-0.345732,2.08
3.533333,-0.276521,2.77
3.566667,-0.161169,3.81
3.5999999999999996,-0.022746,3.81
3.6333330000000004,0.092606,3.11
3.6666670000000003,0.184888,1.38
3.7,0.184888,0.0
3.733333,0.184888,0.0
3.766667,0.184888,-2.42
3.8,0.023395,-5.19
3.8333329999999997,-0.161169,-6.58
3.8666669999999996,-0.414944,-3.81
3.9000000000000004,-0.414944,-0.69
3.933333,-0.461084,0.69
3.966667,-0.368803,1.38
4.0,-0.368803,0.35
4.033333,-0.345732,1.04
4.066667,-0.299591,1.04
4.1,-0.276521,1.73
4.133333,-0.184239,1.38
4.166667,-0.184239,2.77
4.2,0.000324,4.84
4.233333,0.138747,2.08
4.266667,0.138747,0.69
4.3,0.184888,0.69
4.333333,0.184888,-0.69
4.366667,0.138747,-2.77
4.4,0.000324,-4.84
4.433333,-0.184239,-3.46
4.466667,-0.23038,-1.73
4.5,-0.299591,-1.04
4.533333,-0.299591,0.0
4.566667,-0.299591,0.0
4.6,-0.299591,0.0
4.633333,-0.299591,0.0
4.666667,-0.299591,0.35
4.7,-0.276521,5.88
4.733333,0.092606,7.27
4.766667,0.207958,1.73
4.8,0.207958,1.04
4.833333,0.27717,0.69
4.866667,0.254099,-2.42
4.9,0.115676,-4.15
4.933333,-0.022746,-3.46
4.966667,-0.115028,-1.73
5.0,-0.138098,-1.38
5.033333,-0.20731,-1.04
5.066667,-0.20731,-0.35
5.1,-0.23038,-0.35
5.133333,-0.23038,0.0
5.166667,-0.23038,0.0
5.2,-0.23038,0.0
5.233333,-0.23038,0.35
5.266667,-0.20731,4.84
5.3,0.092606,7.61
5.333333,0.30024,3.11
5.366667,0.30024,0.0
5.4,0.30024,0.0
5.433333,0.30024,-2.08
5.466667,0.161817,-5.88
5.5,-0.091957,-5.88
5.533333,-0.23038,-2.08
5.566667,-0.23038,0.0
5.6,-0.23038,0.69
5.633333,-0.184239,0.0
5.666667,-0.23038,-0.69
5.7,-0.23038,-1.73
5.733333,-0.345732,2.42
5.766667,-0.068887,5.19
5.8,0.000324,2.08
